GPU Usage          ,Framerate           ,Frametime           
11,111.9,0
11,111.9,0
11,111.9,0
12,111.9,0
7,111.9,0
4,111.9,0
6,12.9,760.298
6,15.1,37.596
6,18.2,91.403
4,23.2,16.727
3,31.4,17.237
2,39.1,15.972
2,45,16.66
4,50.1,15.894
3,54.6,15.937
4,58.5,15.894
3,107.9,15.906
3,114,16.439
4,120.7,15.735
3,120.8,15.451
4,120.8,15.367
3,120.9,15.93
4,120.7,16.177
3,121,15.858
4,120.9,16.002
3,121,16.133
3,120.7,15.832
3,120.7,15.758
3,120.8,15.967
4,120.6,22.044
3,121.7,15.646
3,121.7,16.013
2,121.7,16.171
0,120.8,16.717
2,120.7,16.311
1,121.6,15.678
3,121.7,16.696
3,121.7,16.053
3,121.7,16.213
4,121.7,16.95
3,120.8,16.337
4,120.7,15.899
2,120.6,16.114
3,120.7,16.028
4,120.7,15.982
2,120.7,16.386
3,120.8,16.517
3,120.7,16.133
5,120.8,15.906
3,120.8,15.71
15,120.7,15.968
3,120.7,15.947
